id,submitted_at,age_group,gender,occupation,region,drives_weekly,drinking_freq,fav_alcohols_arr,nonalc_freq,health_reasons_arr,purchase_intent,price_band,satisfaction_int,free_comment,positive_point,negative_feedback,scene,positive_point_category,positive_point_confidence,negative_feedback_category,negative_feedback_confidence
1,2025-07-07 09:16:50,20s,female,company_employee,kanto,True,daily,['beer' 'chuhai' 'wine'],sometimes,['low_cal'],unsure,under199,4,ランチ休憩に手軽に楽しめる後味の良さが魅力的だけど、もう少し炭酸が強ければ完璧かも！,後味が良い,炭酸の強さを増すことが望ましい,ランチ,DrinkabilityAftertaste,1.0,MouthfeelCarbonation,1.0
2,2025-07-07 11:25:06,30s,male,homemaker,kanto,False,daily,['sake' 'chuhai'],sometimes,['fitness'],maybe,under199,4,味わいがとても良く、BBQのような屋外シーンで楽しめそうなクラフトビールでした。日本酒や酎ハイも好きですが、このような風味豊かなビールも日々の晩酌に取り入れたいと思います。199円以下という価格帯なら気軽に購入しやすいですね。,味わいがとても良い,改善点は特に見当たりません,BBQ,Flavor,0.99,None,1.0
3,2025-07-07 14:08:47,20s,male,company_employee,kanto,False,weekly,['beer' 'highball'],sometimes,['low_cal'],def_buy,250_299,5,風呂上がりに飲みたくなる最高の一杯です！後味の爽やかさが格別で、ゆっくり味わいながら一日の疲れを癒せました。個人的にはもう少し苦味が強くても嬉しいですが、このバランスも素晴らしく、この価格帯なら迷わず購入したいと思います。,後味の爽やかさが格別,苦味をもう少し強くしてほしい,風呂上がり,DrinkabilityAftertaste,0.99,Flavor,0.99
4,2025-07-06 21:48:24,50s,female,company_employee,kanto,False,weekly,['shochu'],first_time,['low_cal'],maybe,250_299,4,夕食時に楽しめるノンアルコールビールとして、パッケージデザインが特に魅力的でした。低カロリーなのも嬉しいポイントですが、もう少し炭酸が強ければさらに満足度が上がりそうです。250〜299円の価格帯であれば、また購入を検討したいと思います。,パッケージデザインが魅力的,炭酸の強さを向上させることが望ましい,夕食,PackagingDesign,0.99,MouthfeelCarbonation,0.99
5,2025-07-07 01:35:55,50s,male,no_answer,kanto,True,weekly,['sake'],first_time,['none'],def_buy,300_349,4,仕事の合間にちょっと一息つけるノンアルなのに、味わいがしっかりしていて満足感あり！炭酸がもう少し強めだと完璧かな。この価格なら迷わず買います。,味わいがしっかりしていて満足感あり,炭酸の強さを強化すれば完璧になる,仕事の合間,Flavor,0.99,MouthfeelCarbonation,0.99
6,2025-07-07 12:14:26,20s,female,homemaker,kinki,False,weekly,['highball'],first_time,['fitness' 'low_cal'],no,200_249,4,香りが良くて夕方のリラックスタイムに合いそう、もう少し安ければ買いたいな。,香りが良い,価格を下げれば購入意欲が高まる,リラックスタイム,Aroma,1.0,PriceValue,1.0
7,2025-07-07 05:18:34,50s,female,company_employee,kanto,False,weekly,['beer' 'highball'],weekly,['none'],def_buy,250_299,4,運転する日でも楽しめるノンアルなのに、しっかりビールの風味が感じられて満足！カロリー控えめなのも嬉しいポイントです。,ビールの風味がしっかり感じられる,,運転,Flavor,0.99,None,1.0
8,2025-07-07 17:45:51,40s,female,homemaker,kyushu_okinawa,False,monthly,['none' 'chuhai'],sometimes,['low_sugar'],unsure,200_249,5,香りの豊かさに感動しました！夕食と一緒に楽しむのにぴったりで、普段あまりお酒を飲まない私でも美味しくいただけました。糖質控えめなのも嬉しいポイントです。もう少しお手頃な価格だったら定期的に購入したいなと思います。,香りが豊か,価格がもう少し手頃であれば定期購入を検討したい,夕食,Aroma,1.0,PriceValue,0.99
9,2025-07-07 17:17:54,30s,male,self_employed,kanto,False,weekly,['chuhai' 'beer' 'cocktail'],sometimes,['none'],maybe,under199,4,味わいが非常に良く、夕食時に楽しめるクラフトビールだと思います。炭酸がもう少し強ければ完璧だったかもしれませんが、全体的には満足できる品質でした。この価格帯であれば、また購入を検討したいと思います。,味わいが非常に良い,炭酸の強さを増すと更に良くなる,夕食,Flavor,0.99,MouthfeelCarbonation,0.99
10,2025-07-07 15:08:55,50s,male,company_employee,kanto,True,weekly,['shochu'],first_time,['low_carb'],def_buy,250_299,1,糖質制限中なのでノンアルを試してみましたが、味が薄くて物足りなさを感じました。普段は焼酎を飲むので比較してしまうのですが、この価格帯でこの味では正直リピートは難しいです。夕食時に合わせるには物足りなさを感じます。,,味が薄く満足感に欠ける,夕食,None,1.0,Flavor,0.99
11,2025-07-07 00:36:05,50s,male,company_employee,hokkaido_to_hoku,False,never,['highball' 'none'],weekly,['low_carb' 'low_cal'],maybe,300_349,2,炭酸がもっと強くてもいいかな、風呂上がりに飲むには物足りない感じがした。,炭酸がある,炭酸の強度を向上させることが望ましい,風呂上がり,MouthfeelCarbonation,0.99,MouthfeelCarbonation,0.99
12,2025-07-06 12:04:15,60plus,male,student,kanto,False,monthly,['shochu'],first_time,['low_cal'],maybe,200_249,4,味は良かったけど、もう少し炭酸が強いと夕食に合いそう。,味は良かった,炭酸の強さを増すことが望ましい,夕食,Flavor,0.99,MouthfeelCarbonation,1.0
13,2025-07-07 10:27:19,40s,male,other,kyushu_okinawa,True,daily,['none' 'beer' 'highball'],sometimes,['liver_care'],maybe,250_299,4,香りが特に良くて、お風呂上がりに飲みたくなる味わいでした。肝臓のケアをしている身には程よいアルコール感で楽しめます。,香りが特に良い,特に改善点はありません,お風呂上がり,Aroma,1.0,,
14,2025-07-07 06:11:32,20s,female,company_employee,kyushu_okinawa,True,daily,['beer' 'highball' 'chuhai'],first_time,['low_cal' 'low_carb'],no,200_249,3,香りは良かったのですが、夕食時に楽しむノンアルコールビールとしては価格が少し高く感じました。低カロリー・低糖質な点は評価できますが、200円台前半くらいなら購入を検討したいです。,低カロリー低糖質,価格が高くコストパフォーマンスが低い,夕食,CaloriesCarbs,0.99,PriceValue,0.99
15,2025-07-06 15:52:58,40s,female,company_employee,kanto,False,daily,['chuhai'],weekly,['low_cal'],def_buy,200_249,5,バーベキューでの乾杯にぴったりの味わい深さに感動しました！毎日のお酒タイムが楽しみになる逸品で、カロリーを気にしている私でも罪悪感なく楽しめるのが嬉しいポイントです。この価格帯でこの満足感は間違いなく定期購入したいと思います。,味わい深さに感動,改善点は特に見当たりません,バーベキュー,Flavor,0.99,None,1.0
16,2025-07-06 13:44:33,30s,female,other,chugoku_shikoku,False,monthly,['sake'],weekly,['low_carb' 'doctor_advice'],unsure,200_249,5,スポーツ後の爽快感にぴったりのパッケージデザインで、一目惚れしました！低糖質なのに味わい深く、医師からの制限がある中でも安心して楽しめるのが嬉しいポイントです。,低糖質でも味わい深い,,スポーツ後,CaloriesCarbs,0.85,,
17,2025-07-07 17:15:37,30s,male,company_employee,kyushu_okinawa,True,monthly,['beer'],weekly,['none'],def_buy,200_249,3,炭酸が少し強めだけど、この価格なら夕方にゆっくり飲むのにちょうどいいビールだね。,価格が手頃でゆっくり飲める,炭酸の強さがやや過剰です,夕方,PriceValue,0.9,MouthfeelCarbonation,0.99
18,2025-07-07 17:55:55,60plus,male,company_employee,overseas,True,daily,['cocktail' 'wine' 'none'],sometimes,['low_sugar'],maybe,200_249,4,香りが素晴らしく、パーティーで楽しめそうなビールでした。,香りが素晴らしい,,パーティー,Aroma,1.0,,
19,2025-07-07 10:11:02,50s,female,company_employee,chubu,True,never,['highball' 'wine' 'beer'],sometimes,['low_cal' 'fitness'],unsure,200_249,4,お風呂上がりにぴったりの爽やかな味わいでした。炭酸がもう少し強いと個人的には嬉しいかも。健康に気を使っている身としては、このくらいの価格帯でおいしいノンアルが選べるのは魅力的です。,価格帯で美味しいノンアルが選べる,炭酸の強さを増すことが望ましい,お風呂上がり,PriceValue,0.95,MouthfeelCarbonation,1.0
20,2025-07-07 08:05:16,40s,male,company_employee,kanto,False,weekly,['beer' 'wine' 'cocktail'],weekly,['none'],def_buy,200_249,3,スポーツ後の一杯に良さそうな後味の爽やかさが印象的でした。価格がもう少し手頃になれば、週末の運動後に定期的に楽しみたいビールです。,後味が爽やか,価格が高く継続利用が難しい,スポーツ後,DrinkabilityAftertaste,1.0,PriceValue,0.99
21,2025-07-07 03:17:57,40s,female,other,kanto,False,weekly,['highball' 'beer'],sometimes,['none'],maybe,250_299,3,苦味がもう少し強いとより好みですが、後味の爽やかさは食事と合わせて楽しむのに良いと思います。夕食時に飲むのに適していて、この価格帯であれば時々購入を検討したいです。,後味の爽やかさが食事と合う,苦味がやや弱く、強化が望まれる,夕食,DrinkabilityAftertaste,1.0,Flavor,0.99
22,2025-07-07 06:17:40,20s,female,homemaker,kanto,False,monthly,['wine' 'cocktail' 'highball'],weekly,['liver_care' 'low_cal'],unsure,200_249,3,炭酸がもう少し強くても良いかなと思いましたが、後味の爽やかさは気に入りました。ワインやカクテルが好きな私にとって、運転時に楽しめるノンアルコール選択肢として、200円台前半なら検討の余地があります。,後味の爽やかさは気に入りました,炭酸の強さを強化することが望ましい,運転時,DrinkabilityAftertaste,0.99,MouthfeelCarbonation,0.99
23,2025-07-07 03:38:37,40s,male,company_employee,kanto,True,weekly,['beer' 'wine' 'chuhai'],sometimes,['none'],unsure,200_249,4,味は確かに良かったけど、もう少し炭酸が強ければ夕食と一緒に楽しむのにぴったりだなと思った。,味が良い,炭酸の強さを向上させてほしい,夕食,Flavor,1.0,MouthfeelCarbonation,0.99
24,2025-07-07 07:15:56,60plus,male,student,chugoku_shikoku,False,weekly,['cocktail' 'sake'],weekly,['low_cal'],def_buy,250_299,5,香りも味わいも最高！パーティーで飲みたい逸品だけど、もう少し炭酸強めだとなお良しかな。,香りと味わいが最高,炭酸の強さを増やすとさらに好ましい,パーティー,Aroma,0.9,MouthfeelCarbonation,1.0
25,2025-07-07 08:39:20,30s,female,student,chubu,True,daily,['beer' 'highball'],sometimes,['doctor_advice' 'low_sugar'],def_buy,250_299,3,糖質制限中でも罪悪感なく楽しめる低カロリーな点が嬉しいけど、炭酸がもう少し控えめだと夕方のリラックスタイムにより飲みやすいかも。,低カロリーで罪悪感がない,炭酸の強さを抑えてほしい,リラックスタイム,CaloriesCarbs,0.99,MouthfeelCarbonation,0.99
26,2025-07-06 22:44:30,20s,male,company_employee,kyushu_okinawa,True,daily,['chuhai'],first_time,['low_cal'],maybe,350plus,5,後味の爽やかさが最高で、パーティーでみんなと楽しむのにぴったりのノンアルビールだと思います！普段は酎ハイ派ですが、これなら運転の日でも気兼ねなく飲めるのが嬉しいです。価格がもう少し手頃になれば、毎日の晩酌にも取り入れたいです。,後味の爽やかさが最高,価格が手頃になると日常的な晩酌への導入が可能になる,パーティー,DrinkabilityAftertaste,0.99,PriceValue,0.99
27,2025-07-07 14:19:06,50s,female,company_employee,kanto,True,weekly,['highball' 'cocktail'],sometimes,['low_carb'],def_buy,250_299,3,運動後に楽しめる低カロリーなクラフトビールで、糖質制限中でも気にせず飲めるのが良かったです。価格がもう少し手頃になれば、週に1回の楽しみとして定期的に購入したいと思います。,低カロリーで糖質制限中でも気にせず飲める,価格を手頃にすれば定期購入を検討したい,運動後,CaloriesCarbs,0.99,PriceValue,0.99
28,2025-07-07 05:23:47,30s,male,company_employee,kanto,False,monthly,['highball'],weekly,['pregnancy' 'low_sugar'],def_buy,250_299,4,炭酸が少し強めに感じましたが、この価格帯でこの品質は非常にコスパが良いと思います。運転時にも気兼ねなく楽しめるノンアルコールなのに本格的な味わいで、糖質も控えめなのが妊娠中の自分には嬉しいポイントでした。,コスパが良い,炭酸がやや強めである,運転時,PriceValue,0.99,MouthfeelCarbonation,0.99
29,2025-07-06 18:56:17,50s,male,company_employee,chugoku_shikoku,True,weekly,['wine' 'chuhai'],sometimes,['liver_care' 'low_sugar'],def_buy,200_249,3,炭酸がもう少し控えめだったら夕方のリラックスタイムにぴったりなのに、後味の良さは気に入ったので肝臓ケア中の身には200円台なら定期購入したい。,後味が良い,炭酸の強さが過剰である,夕方,DrinkabilityAftertaste,1.0,MouthfeelCarbonation,1.0
30,2025-07-07 00:47:51,30s,female,student,chubu,False,weekly,['wine'],weekly,['none'],maybe,200_249,4,味わいが良くて夕方のリラックスタイムに合いそう、もう少し安ければ定期的に買いたいな。,味わいが良い,価格がもう少し低ければ定期的に購入したい,夕方,Flavor,0.99,PriceValue,0.99
31,2025-07-06 19:51:49,20s,male,company_employee,kinki,False,monthly,['beer' 'highball' 'cocktail'],weekly,['fitness' 'doctor_advice'],maybe,250_299,5,筋トレと健康管理で普段は控えめですが、この炭酸控えめのクラフトビールは夕方のリラックスタイムにぴったりで、この味わいなら300円以下でまた飲みたいです！,味わいが良い,,リラックスタイム,Flavor,0.99,,
32,2025-07-06 14:35:51,40s,female,company_employee,kanto,False,weekly,['beer' 'wine'],sometimes,['low_sugar'],def_buy,350plus,5,スポーツ後の爽快感にぴったりの後味で、ビールの新たな魅力を発見できました！苦みがもう少し控えめだったら完璧ですが、この味わいなら350円以上でも迷わず購入します。,後味が爽快で新たな魅力を発見,苦味をもう少し抑えてほしい,スポーツ後,DrinkabilityAftertaste,0.98,Flavor,0.99
33,2025-07-06 19:02:10,20s,female,homemaker,chubu,False,weekly,['shochu' 'beer'],sometimes,['low_cal'],def_buy,under199,3,お風呂上がりに飲みたくなるようなパッケージデザインが魅力的でした。個人的には苦味がもう少し強いとより満足できそうですが、このお値段であれば購入したいと思います。,パッケージデザインが魅力的,苦味を強化すれば満足度が向上する,お風呂上がり,PackagingDesign,0.99,Flavor,0.99
34,2025-07-07 06:05:50,20s,male,student,kanto,True,weekly,['wine' 'shochu' 'beer'],first_time,['none'],maybe,250_299,3,今回初めてノンアルコールビールを試しましたが、普段ワインや焼酎、ビールを飲む身としては、味わいは予想以上に本格的で驚きました。夕方のリラックスタイムに飲むのに良さそうで、250〜299円という価格帯も許容範囲内ですが、購入するかどうかはまだ迷っています。,本格的な味わい,購入判断に迷いが残る,リラックスタイム,Flavor,0.99,PriceValue,0.6
35,2025-07-07 19:04:27,20s,male,homemaker,hokkaido_to_hoku,True,weekly,['highball' 'chuhai'],weekly,['low_cal' 'low_sugar'],maybe,200_249,5,香りが最高に引き立ってて一気に気分上がった！パーティーで飲んだらみんな絶対ハマるわ！炭酸もうちょい強めだったら完璧だけど、このクオリティで200円台なら迷わず買うね！,香りが最高,炭酸の強さをもう少し増やすと更に良くなる,パーティー,Aroma,1.0,MouthfeelCarbonation,1.0
36,2025-07-07 17:19:49,30s,female,student,no_answer,False,weekly,['highball'],first_time,['fitness'],unsure,250_299,4,お風呂上がりに罪悪感なく飲めるのが嬉しい、カロリー控えめなのでフィットネス中でも安心。,カロリー控えめで安心,,お風呂上がり,CaloriesCarbs,0.99,,
37,2025-07-06 22:00:28,30s,male,company_employee,chubu,True,monthly,['wine'],first_time,['liver_care' 'doctor_advice'],unsure,200_249,5,肝臓ケア中でも罪悪感なく楽しめる低カロリーさが素晴らしく、夕食と一緒に味わえるワイン好きにはたまらない一品だけど、もう少し炭酸感が強ければ完璧だったな！,低カロリーが素晴らしい,炭酸感を強化すれば完璧です,夕食,CaloriesCarbs,0.99,MouthfeelCarbonation,0.99
38,2025-07-07 08:46:13,30s,male,company_employee,kanto,False,weekly,['beer' 'none'],weekly,['none'],def_buy,300_349,5,今回のクラフトビールは味わいが素晴らしく、お風呂上がりに飲むのが最高に合いそうです！香りと苦味のバランスが絶妙で、一口飲んだ瞬間から虜になりました。価格がもう少し手頃になれば文句なしの逸品です。,香りと苦味のバランスが絶妙,価格を手頃に設定すれば更に価値が向上する,お風呂上がり,Flavor,0.95,PriceValue,0.99
39,2025-07-06 14:16:36,40s,male,company_employee,kyushu_okinawa,False,monthly,['none' 'beer'],sometimes,['none'],maybe,300_349,2,味は悪くないのですが、全体的に期待していたほどのインパクトがなく、少し物足りなさを感じました。お風呂上がりに飲むには少し重たい印象で、もう少し爽快感があると良いかもしれません。,味が悪くない,インパクトが不足し物足りず 重くて爽快感が足りない,お風呂上がり,Flavor,0.99,MouthfeelCarbonation,0.95
40,2025-07-07 14:40:47,30s,female,company_employee,kanto,False,weekly,['sake' 'highball'],weekly,['none'],maybe,200_249,3,仕事の合間に一息つきたいときにちょうど良いクラフトビールでした。日本酒やハイボールも好きですが、今回の味わいは個性があって楽しめました。200円台前半であれば気軽に手に取りやすく、週に一度くらいの頻度で飲んでみたいと思います。,個性があって楽しめました,,仕事の合間,BrandImageStory,0.95,None,1.0
41,2025-07-07 17:09:59,40s,male,student,kinki,False,monthly,['cocktail' 'chuhai' 'beer'],sometimes,['none'],def_buy,under199,2,夕食時に飲むには苦味が足りなくて物足りないなぁ、もう少し苦みを効かせてくれたら最高やのに。,,苦味が不足しているため風味に物足りなさを感じます苦味を強化すれば満足度が向上します,夕食,None,1.0,Flavor,0.99
42,2025-07-07 17:42:34,40s,male,other,kanto,False,weekly,['beer' 'highball' 'sake'],sometimes,['liver_care' 'low_carb'],def_buy,200_249,5,運転時でも楽しめる後味最高のノンアル、これは絶対買いです！,後味最高,,運転,DrinkabilityAftertaste,1.0,,
43,2025-07-07 09:04:26,40s,male,company_employee,kanto,False,daily,['wine'],sometimes,['none'],maybe,250_299,4,夕食時に楽しめるフルーティーな味わいで、ワイン好きの自分でも満足できる味わい深さがありました。,フルーティーな味わいと深い味わい,,夕食,Flavor,0.99,None,1.0
